tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,trial,train_loss,val_loss,val_mae,val_r2,test_mae,test_r2
"(512, 256)","(128, 64)",0.0001,64,1,0.14653463661670685,0.8428882360458374,0.6815944147593954,0.45408088883971953,0.7078578801409674,0.4344569738085007
"(512, 256)","(128, 64)",0.0001,64,2,0.15440942347049713,0.8273012042045593,0.6862690408674778,0.46307854232654644,0.7099779122896092,0.4424470550322953
"(512, 256)","(256, 128)",0.001,32,0,0.14258819818496704,0.9718822836875916,0.6644978148105194,0.5057234780183212,0.6663344528010199,0.4970413324200026
"(512, 256)","(256, 128)",0.001,32,1,0.1254550963640213,0.8146566152572632,0.6650138358032563,0.5040775493451777,0.6741682957737992,0.48566494950283656
"(512, 256)","(256, 128)",0.001,32,2,0.08657471090555191,0.7758047580718994,0.6413318212779135,0.5184987708419809,0.6658438554312726,0.4928909507319694
"(512, 256)","(256, 128)",0.001,64,0,0.09860696643590927,0.7816178202629089,0.6658312858158387,0.5085974703329712,0.6729078567103474,0.49405120867714014
"(512, 256)","(256, 128)",0.001,64,1,0.14527979493141174,0.7402520775794983,0.6472519118404855,0.5158825098466455,0.670758423044604,0.5014111050172736
"(512, 256)","(256, 128)",0.001,64,2,0.09831026941537857,0.7323417067527771,0.6414282381115941,0.5217524390681738,0.6422877570858279,0.5371124347471506
"(512, 256)","(256, 128)",0.0001,32,0,0.06583703309297562,0.8414134383201599,0.6791072004337529,0.4726891337653364,0.6748274485016589,0.4948541845380424
"(512, 256)","(256, 128)",0.0001,32,1,0.07984507083892822,0.8214643001556396,0.6812031202553285,0.4826287178677706,0.6746350439761456,0.50091122181557
"(512, 256)","(256, 128)",0.0001,32,2,0.06133585795760155,0.8588778972625732,0.6824844517334153,0.46443648187588027,0.6820182963302004,0.47502410754375013
"(512, 256)","(256, 128)",0.0001,64,0,0.10736184567213058,0.820747435092926,0.6709710871733957,0.47251038271853174,0.679268364284035,0.47763674341792894
"(512, 256)","(256, 128)",0.0001,64,1,0.06786805391311646,0.7756555676460266,0.6647455341587469,0.4995507470772558,0.6765612238808938,0.48398797607168764
"(512, 256)","(256, 128)",0.0001,64,2,0.09627840667963028,0.8260568976402283,0.6819827877847142,0.4721821522820705,0.6975488845048189,0.4605091177068179
"(512, 256)","(256, 128, 64)",0.001,32,0,0.1930815577507019,0.8005468249320984,0.664623999449042,0.5050322555476325,0.6580079816198736,0.5147065398935149
"(512, 256)","(256, 128, 64)",0.001,32,1,0.16596664488315582,0.8077443838119507,0.6632019007447444,0.4931475643022585,0.6754734567855416,0.472576768009614
"(512, 256)","(256, 128, 64)",0.001,32,2,0.05754422768950462,0.777297854423523,0.6529508537475744,0.4997981115393437,0.6532795492346746,0.508342325641217
"(512, 256)","(256, 128, 64)",0.001,64,0,0.1101418063044548,0.8671590089797974,0.679213137630274,0.4873195665940767,0.6737985526335506,0.49986318006786545
"(512, 256)","(256, 128, 64)",0.001,64,1,0.0897597223520279,0.7841464877128601,0.6393036954107257,0.5204514812767462,0.6553739778808985,0.5218351185357392
"(512, 256)","(256, 128, 64)",0.001,64,2,0.10482683032751083,0.905086874961853,0.6566062062866614,0.5095190446064268,0.6910862859841905,0.46410710388989773
"(512, 256)","(256, 128, 64)",0.0001,32,0,0.05295507609844208,0.8462584614753723,0.6733626527075087,0.48374435384077186,0.6948636441779834,0.46144840743900684
"(512, 256)","(256, 128, 64)",0.0001,32,1,0.055085670202970505,0.8030721545219421,0.6655816013384607,0.4989290457434885,0.6581868877304536,0.503071551402357
"(512, 256)","(256, 128, 64)",0.0001,32,2,0.052148234099149704,0.8360130190849304,0.6787313033202151,0.48061553224709663,0.6659651539916981,0.4966096833678043
